date,e0,e_end,plan_cost,adj_purchase_cost,breach_cost,uplift_cost,adj_cost,em_cost,total_cost,plan_kWh,adj_kWh,dev_kWh,over_kWh,under_kWh,em_kWh,curt_kWh
2025-05-30,1877.4206632129635,2282.1101004444454,11294.32793358396,11504.2316474722,2.999437735221969e-14,104.9518569441198,104.95185694411983,61.86855134664939,11671.05205576297,26452.4743883861,26747.163212180552,294.68882379444426,294.68882379444403,2.2737367544323206e-13,21.411507647222493,17375.698235178326
2025-05-31,2282.1101004444454,1652.9607829999968,11601.937339908549,10934.036436367576,333.95045177048723,4.613790830868917e-14,333.9504517704873,0.0,11267.986888138064,27812.16242389575,26661.16962139574,1150.9928025000027,3.7895612573872007e-13,1150.9928025000022,0.0,16499.571921786697
2025-06-01,1652.9607829999968,1200.0,49529.76249914136,49881.852834891724,2244.287815542234,2420.3329834174147,4664.620798959649,15946.807802035495,70493.28143588686,73360.0254146845,72410.37662773591,10417.131913387497,4733.74156321945,5683.390350168047,3187.0963445833336,955.2300450000005
2025-06-02,1200.0,1200.0,51910.78169146461,48339.81398652952,2780.5156504827764,995.0317980152334,3775.54744849801,9549.02777152502,61664.38920655255,77486.51192666666,71019.12243964124,9370.605765914299,1451.6081394444402,7918.997626469858,2038.580844166669,228.50807029835573
2025-06-03,1200.0,1200.0,48322.83683251921,48780.86944010824,875.5038280039223,1104.520131798437,1980.0239598023593,6522.377466471901,57283.2708663825,73081.78918599793,72231.64143601662,5652.875048564649,2401.3636492916703,3251.5113992729775,1271.1828364916687,1425.38865960562
2025-06-04,1200.0,1200.0,58739.14275747877,50686.68399409546,4049.2914046632345,23.06202297157877,4072.353427634813,1516.8680827345631,56275.905504464834,85839.8792575,75028.95153622236,10880.085286610974,34.57878266666815,10845.506503944305,367.5273309555546,1580.983032530866
2025-06-05,1200.0,1701.4985333179036,51818.94454155083,52655.270531063,625.8212694211935,1043.9842641772777,1669.8055335984714,864.8739857287499,55189.950050390216,76914.99254640134,77183.17199573526,4485.635555445025,2376.9075023894734,2108.7280530555513,124.73104166666667,1461.7291058299106
2025-06-06,1701.4985333179036,1286.757375,14144.446558024752,16182.63433627553,276.3338385361111,1295.4277276615012,1571.7615661976124,14815.195104151575,32569.59100662472,29660.386229410145,31356.587935843476,3209.9710730999986,2453.0863897666654,756.8846833333332,3747.380758630553,2198.6781385185222
2025-06-07,1286.757375,1200.0,16491.959028880356,16691.86468629975,427.2728055660419,527.2256342757371,954.4984398417789,10878.140346652619,28524.503472794146,35775.43816848766,34930.05522442376,3043.268682602779,1098.9428692694448,1944.325813333334,2710.347189324998,4123.8142743518565
2025-06-08,1200.0,1699.2086992376528,49563.45007985164,48170.12409585575,1627.9255658947466,931.2625738968013,2559.1881397915477,546.0154043083337,51275.32763995562,75001.03061896225,72015.21040134567,7938.290215369658,2476.234998876544,5462.055216493114,78.5289733333334,2700.4686280555547
2025-06-09,1699.2086992376528,1879.593347583333,57720.08961734829,53513.79757309773,2103.1460221252796,0.0,2103.1460221252796,443.9485416404171,56060.892136863426,83318.61965955075,77759.0974395336,5559.522220017154,0.0,5559.522220017154,63.322310833333404,2569.1984709053518
2025-06-10,1879.593347583333,1637.0740499135788,52418.89430884823,53874.79607713451,128.44982977722222,856.4007139203655,984.8505436975878,0.0,54859.6466208321,76974.9977316701,78551.42719386144,2465.9795288580244,2021.204495524691,444.77503333333334,0.0,3049.5945870987607
2025-06-11,1637.0740499135788,1848.734119805555,57272.46377140775,57602.11663846643,483.49023734207435,648.3166708714194,1131.806908213494,102.65242907500158,58836.57597575493,82421.20598009482,83073.37430289094,2608.144530573897,1630.1564266850103,977.9881038888867,14.23750750000022,2309.4875769924606
2025-06-12,1848.734119805555,2125.5871047685173,55325.92623961384,54217.344322312376,572.504246401669,18.213287750942687,590.7175341526116,0.0,54808.061856464985,80396.23854509766,78752.51230099959,1731.2739712585774,43.77386358025016,1687.5001076783274,0.0,1942.2408332441723
2025-06-13,2125.5871047685173,1350.26547375,15357.201398220419,16298.39382607527,50.38856768763892,520.9847816150645,571.3733493027034,4674.682012066287,21544.44918744426,31859.253853185866,32791.421185294195,1228.2200654416656,1080.193698774999,148.02636666666677,959.4976550999978,3714.0626580692756
2025-06-14,1350.26547375,1204.4597388796296,17270.694217155105,17219.769879933938,271.01473080895846,245.55256219837653,516.567293007335,1603.409573260413,19339.746746201687,33869.237371646086,33552.486956965535,1207.0004436527781,445.125014486111,761.8754291666671,455.3970625055571,5455.281877006175
2025-06-15,1204.4597388796296,1991.0344710802492,51289.376469089286,53708.692011524145,208.1405652305999,1417.7983364480253,1625.9389016786251,87.18407024680604,55421.81498344957,75610.4433577229,78984.61483274793,4591.2093125078845,3982.6903937664547,608.5189187414296,12.320224722222292,3692.6500590877886
2025-06-16,1991.0344710802492,2162.3029835123466,53844.321058827394,54468.86031893215,683.4385396019334,995.7081696543088,1679.146709256242,333.9875478422215,56481.994576030615,78075.47223312748,79182.55481741416,4269.865090041122,2688.473837163891,1581.3912528772312,49.334396111111005,2305.0046783539065
2025-06-17,2162.3029835123466,1392.861837910493,55075.930497538575,56007.13205107356,644.8470343524306,1110.4478111199264,1755.2948454723569,532.7452777970828,58295.172174343,79502.99247201988,80666.29500939779,4723.485833653632,2943.394185515772,1780.09164813786,75.01513083333327,2934.9267679677614
2025-06-18,1392.861837910493,1905.094619098764,55564.310327220344,54578.0220182106,1369.1494880528367,876.0053335479669,2245.1548216008036,0.0,56823.1768398114,80588.30778463,79224.55949240568,5975.930006218758,2306.090856997222,3669.839149221535,0.0,4148.455081863851
2025-06-19,1905.094619098764,2075.744844191357,50504.78878454723,51260.97204830248,1274.1970359654852,1652.2886678431134,2926.4857038085984,778.2626908833352,54965.72044299442,75483.61657683126,75788.2710116883,7574.523452880957,3939.588943868998,3634.9345090119596,111.92494916666692,3381.9363351234606
2025-06-20,2075.744844191357,2289.7400948425925,17899.183221279956,17391.544547359124,253.8193369604171,2.7955862065027245e-13,253.8193369604174,0.0,17645.36388431954,34831.79567870713,34209.151453707134,622.6442250000023,1.2587354580530538e-12,622.6442250000009,0.0,9326.148243940328
2025-06-21,2289.7400948425925,2217.57923212037,16960.826164880025,16875.967648026195,51.07017076219162,8.64091233527724,59.711083097468865,0.0,16935.678731123666,33685.43068655007,33531.216063710555,186.40867283950672,16.097024999999608,170.31164783950712,0.0,11892.428048741422
2025-06-22,2217.57923212037,1863.3786612067918,48549.67680843336,49700.36792403183,613.3218001713445,1188.6673579705794,1801.9891581419238,237.43270576499907,51739.78978793876,72643.91615660835,73308.20851143442,4661.522422500966,2662.907388663515,1998.6150338374512,33.97451999999987,2348.3556123971157
2025-06-23,1863.3786612067918,1870.1855445185186,49902.81833492219,49293.43169251902,538.1653564843205,233.47203528273877,771.6373917670592,43.42748396791641,50108.49656825399,74004.54758789316,72957.8438764391,2689.5590713237257,821.4276799348331,1868.1313913888928,6.193750833333297,1870.6547190637805
2025-06-24,1870.1855445185186,1592.0027675987667,60166.46603968032,57919.26534518775,1123.6003472462885,0.0,1123.6003472462885,178.16200389916762,59221.02769633321,85424.51039581276,82951.7501752869,2472.7602205258654,0.0,2472.7602205258654,25.170042500000136,2546.66376972222
2025-06-25,1592.0027675987667,1753.6011034444448,51250.8022817979,52665.089011403965,737.9585128538135,1445.1018776568474,2183.060390510661,143.18469324000077,54991.33409515463,76898.87354971608,77892.72222581312,6110.265278326814,3552.0569772119293,2558.208301114885,20.515176666666775,3526.3612065740717
2025-06-26,1753.6011034444448,1867.3561592777762,48326.617697711175,49782.9101238124,200.40219062979182,928.5484036804021,1128.950594310194,1006.8001745051406,51918.66089262774,73052.54350905007,75349.71388073044,3595.685702517164,2946.428037098777,649.2576654183868,143.6088008333336,3984.0953734259347
2025-06-27,1867.3561592777762,2261.8782030123457,17366.37174591936,16366.398326111052,499.9867099041539,0.0,499.9867099041539,0.0,16866.385036015206,35587.63659987655,33934.56947487654,1653.0671250000019,0.0,1653.0671250000019,0.0,11330.964729646783
2025-06-28,2261.8782030123457,1977.0820396327174,16576.661909084134,16370.059673155021,103.69010021763876,0.3889822530816681,104.07908247072042,0.0,16474.13875562574,32955.27573027092,32707.613676738925,250.61336045977532,1.475653463891002,249.13770699588432,0.0,8843.810463254458
2025-06-29,1977.0820396327174,1993.953190657407,47675.419392508484,51265.58297654374,70.34448394414733,1865.426275961775,1935.7707599059222,157.4245112936115,53358.77824774328,71137.42840986281,75354.08387269554,4654.0309446364045,4435.343203734565,218.68774090183956,23.080877222222284,2239.415356358023
2025-06-30,1993.953190657407,1669.2630692654318,51508.78981247687,50923.81297835983,434.0623203915802,141.5739033330551,575.6362237246353,510.0514517711098,52009.500653855575,77065.40169371056,76056.59830471192,1527.9020501097407,259.5493305555549,1268.352719554186,73.03590055555537,2662.6706082373044
2025-07-01,1669.2630692654318,1200.0,48544.90275979779,58790.72001085981,3.106270545,5126.014896076009,5129.121166621009,25603.893620078852,89523.73479755968,67309.18769094307,76813.23722015288,9523.364129209804,9513.706829209803,9.657300000000001,5207.532992694447,0.0
2025-07-02,1200.0,1200.0,49907.14144150491,55181.18452564394,0.0,2637.0215420695154,2637.0215420695154,17878.368231876906,75696.57429959037,67314.46014918038,72907.67799711539,5593.217847935009,5593.217847935009,0.0,3618.5544179166654,74.20519555555563
2025-07-03,1200.0,1403.5678605,58753.0790127202,62140.090224515276,389.8258527506636,2083.331458648204,2473.1573113988675,13177.76952831024,77791.01706422438,79374.60616211583,82122.18059725157,4881.943158777703,3814.7587969567194,1067.1843618209837,2455.658363808336,590.5922480555507
2025-07-04,1403.5678605,1200.0,17308.47910586798,19533.600490114914,3.2321491655946165e-14,1112.560692123467,1112.560692123467,28802.580552926283,49448.741735164665,31640.00729500343,33574.19440289509,1934.1871078916643,1934.187107891664,1.991098643985525e-13,7188.866031768792,9760.989533333335
