date,e0,e_end,plan_cost,em_cost,total_cost,plan_kWh,em_kWh,stochastic_obj
2025-05-24,1200.0,1200.0,14564.229562436434,217.9940085499249,14782.22357098636,27446.508703435702,101.83025145833412,14932.139153694387
2025-05-25,1200.0,1200.0,35637.566940786295,0.0,35637.566940786295,57932.288122774175,0.0,36124.92350091874
2025-05-26,1200.0,1200.0,35796.3394695564,957.1250983737648,36753.46456793016,58345.23248182767,445.02428175455805,36287.26888427253
2025-05-27,1200.0,1200.0,35633.11684472183,0.0,35633.11684472183,57809.01237710274,0.0,36008.79872760091
2025-05-28,1200.0,1200.0,35322.60786641843,0.0,35322.60786641843,57334.635988963804,0.0,35668.66329203726
2025-05-29,1200.0,1200.0,35572.27157275856,3494.872361578592,39067.14393433715,56994.323303342215,1632.2635577674857,36378.75332995592
2025-05-30,1200.0,1200.0,14191.23688034952,0.0,14191.23688034952,27011.832781094654,0.0,14720.706268361098
2025-05-31,1200.0,1200.0,14007.12693646682,1090.7397159855716,15097.866652452392,26748.710944630147,504.44240097736645,14386.773221637026
2025-06-01,1200.0,1200.0,34552.74732158651,57738.21709446024,92290.96441604674,56398.77216324443,18959.215755068333,35152.51325968211
2025-06-02,1200.0,1200.0,35166.45919688397,50230.248889886905,85396.70808677087,57780.02082673761,15061.815300320008,40708.329860076694
2025-06-03,1200.0,1200.0,38909.54111983109,29248.01045701583,68157.55157684692,60754.88778005092,11632.247751102885,45935.443639405166
2025-06-04,1200.0,1200.0,45278.9775307453,2268.6026841538333,47547.580214899135,72722.81847834928,985.0495342266024,46401.95337032824
2025-06-05,1200.0,1200.0,46141.3878713215,4170.836983105482,50312.22485442698,73874.54669139272,1592.2070518858277,46946.481150782434
2025-06-06,1200.0,1200.0,19123.81179572714,7759.830900175449,26883.64269590259,33638.49006258496,1967.4526156963252,19641.206929689462
2025-06-07,1200.0,1200.0,19806.63006127495,1435.0204241284157,21241.650485403366,34697.262830601845,353.58173174999916,20347.783628322697
2025-06-08,1200.0,1200.0,51148.04243727606,0.0,51148.04243727606,81302.4209959516,0.0,53550.2175130526
2025-06-09,1200.0,1200.0,50260.614693527255,0.0,50260.614693527255,79759.69068005652,0.0,52586.59416067075
2025-06-10,1200.0,1200.0,50747.15210769571,0.0,50747.15210769571,80348.075690859,0.0,53162.036983176666
2025-06-11,1200.0,1200.0,50580.473185831186,5345.544276318147,55926.017462149335,80517.28247758739,1869.5841627571986,53006.357022202006
2025-06-12,1200.0,1200.0,52151.8887333054,0.0,52151.8887333054,82555.92746410336,0.0,53852.69992999715
2025-06-13,1200.0,1200.0,21513.101833082488,0.0,21513.101833082488,36821.792428123685,0.0,22323.717881426477
2025-06-14,1200.0,1200.0,21400.008646261114,0.0,21400.008646261114,37242.9093048715,0.0,22803.86436811613
2025-06-15,1200.0,1200.0,53714.72356271926,0.0,53714.72356271926,84941.71174496578,0.0,55454.63536535828
2025-06-16,1200.0,1200.0,54639.63676057812,0.0,54639.63676057812,85640.79715039814,0.0,56380.63914200981
2025-06-17,1200.0,1200.0,53210.61690237567,46.381520000000734,53256.99842237567,83746.5050767073,6.880000000000109,54936.981137020906
2025-06-18,1200.0,1200.0,52467.48063133801,0.0,52467.48063133801,82210.67718010195,0.0,54183.47493296369
2025-06-19,1200.0,1200.0,52502.52955019574,130.09409624999984,52632.62364644574,82057.37012023575,19.297499999999975,54204.05002728782
2025-06-20,1200.0,1200.0,22101.94227931461,0.0,22101.94227931461,37387.01574707047,0.0,22865.714766473182
2025-06-21,1200.0,1200.0,21181.062358285988,0.0,21181.062358285988,36480.08208705939,0.0,22030.232545122122
2025-06-22,1200.0,1200.0,51867.21875203059,0.0,51867.21875203059,82234.63641385008,0.0,53449.300305748504
2025-06-23,1200.0,1200.0,53263.76737811911,0.0,53263.76737811911,83890.16527478147,0.0,55130.58179910817
2025-06-24,1200.0,1200.0,52190.70464331843,3173.0881550467434,55363.792798365175,82384.99843333688,861.1630730452704,52998.71920134546
2025-06-25,1200.0,1200.0,52286.26857089747,0.0,52286.26857089747,82961.90734304886,0.0,53370.69857538559
2025-06-26,1200.0,1200.0,51687.4857739875,104.94978603749931,51792.435560025,81790.19481099259,15.5792749999999,53046.98947237282
2025-06-27,1200.0,1200.0,20771.6681599954,0.0,20771.6681599954,35463.191075296294,0.0,21549.99852892428
2025-06-28,1200.0,1200.0,19895.29476745048,0.0,19895.29476745048,34727.890167569865,0.0,20215.483104931824
2025-06-29,1200.0,1200.0,48444.713882428754,1743.8749426932818,50188.58882512204,77481.13213551593,775.6484890946483,50836.559652328375
2025-06-30,1200.0,1200.0,49315.26044680612,0.0,49315.26044680612,77757.61268671656,0.0,51563.40401617781
2025-07-01,1200.0,1200.0,50813.79432727948,16238.359345690807,67052.1536729703,80563.0365621514,4467.972697774558,53136.89147801239
2025-07-02,1200.0,1200.0,50720.12254735315,7176.8098298730965,57896.93237722625,79518.7895237765,2104.3321564673115,53505.28911205694
2025-07-03,1200.0,1200.0,49907.94556697448,16050.429447397168,65958.37501437165,77831.67839638515,6018.434911125125,52765.11395114279
2025-07-04,1200.0,1200.0,23986.30039833201,3299.0211942486094,27285.321592580618,40583.30007785204,1122.6025320257895,24576.90609338973
2025-07-05,1200.0,1200.0,23979.669280811624,3534.213738756085,27513.883019567707,40980.870022695985,862.956770372941,24416.48286200748
2025-07-06,1200.0,1200.0,48747.37343671254,23910.066784005117,72657.44022071766,76982.10680153652,7653.143849028289,50347.56161405603
2025-07-07,1200.0,1200.0,51686.77470785674,113.94068383125123,51800.71539168799,80722.49436753753,16.91392916666685,54149.379733551985
2025-07-08,1200.0,1200.0,55177.96692860621,0.0,55177.96692860621,86038.16848096346,0.0,57676.702205162444
2025-07-09,1200.0,1200.0,53140.32827519483,127.05199437500036,53267.380269569825,83072.99658877827,18.846250000000055,55663.79977721413
2025-07-10,1200.0,1200.0,53101.40297006079,0.0,53101.40297006079,82712.20724445692,0.0,55519.285091042846
2025-07-11,1200.0,1200.0,26012.572627425943,0.0,26012.572627425943,43396.97901509295,0.0,26669.02625036478
2025-07-12,1200.0,1200.0,25997.894291743654,0.0,25997.894291743654,43708.07021288296,0.0,26640.613243129952
2025-07-13,1200.0,1200.0,53214.08904885939,302.5851310104161,53516.674179869806,84181.07445543056,45.010804166666574,55049.00967948562
2025-07-14,1200.0,1200.0,52211.13854859694,0.0,52211.13854859694,82296.97347632489,0.0,53865.810868812616
2025-07-15,1200.0,1200.0,56306.31481197812,0.0,56306.31481197812,87966.8212544944,0.0,57987.21993356633
2025-07-16,1200.0,1200.0,52725.80367571596,0.0,52725.80367571596,83305.0774271649,0.0,54545.28105544592
2025-07-17,1200.0,1200.0,51465.681085430995,0.0,51465.681085430995,80426.0472017916,0.0,53067.22158170727
2025-07-18,1200.0,1200.0,25789.903476040745,0.0,25789.903476040745,43141.295685457604,0.0,26127.390569837156
2025-07-19,1200.0,1200.0,25727.04867614036,0.0,25727.04867614036,43286.05510613322,0.0,26073.952455021015
2025-07-20,1200.0,1200.0,51796.46367339156,0.0,51796.46367339156,81674.8208306923,0.0,52348.621077380994
2025-07-21,1200.0,1200.0,51123.80403677041,0.0,51123.80403677041,80642.73482167171,0.0,51701.527186946056
2025-07-22,1200.0,1200.0,53662.44363763867,0.0,53662.44363763867,83991.3462237212,0.0,54931.3026121373
2025-07-23,1200.0,1200.0,50426.73125460232,2262.016299455205,52688.747554057525,78644.80668681223,925.551437549901,51590.58612105886
2025-07-24,1200.0,1200.0,51497.31372342707,0.0,51497.31372342707,80248.37207512757,0.0,52454.41447984896
2025-07-25,1200.0,1200.0,25455.951893663332,0.0,25455.951893663332,42681.796698101854,0.0,25642.722066606326
2025-07-26,1200.0,1200.0,25994.215368150617,0.0,25994.215368150617,43289.6238857486,0.0,26047.888872459076
2025-07-27,1200.0,1200.0,50676.348609895336,2677.2635907918943,53353.61220068723,79611.06685636521,895.5733850823019,51542.13325631416
2025-07-28,1200.0,1200.0,50350.65079261069,9935.79041317938,60286.44120579008,79185.4047443323,3763.437148754824,51166.56607357085
2025-07-29,1200.0,1200.0,52421.61708745995,568.1618447928456,52989.7789322528,81611.42688606636,241.33981041767356,53661.05944074917
2025-07-30,1200.0,1200.0,51127.082715265235,0.0,51127.082715265235,79795.49967434257,0.0,52230.452237829675
2025-07-31,1200.0,1200.0,51968.62537006219,0.0,51968.62537006219,81244.43782068271,0.0,53198.62320384587
2025-08-01,1200.0,1200.0,25282.150173474438,0.0,25282.150173474438,42613.46455668005,0.0,25755.242959942138
2025-08-02,1200.0,1200.0,25695.028877231107,0.0,25695.028877231107,43055.74738514301,0.0,26161.046109181538
2025-08-03,1200.0,1200.0,50790.635498212694,290.1402680083351,51080.77576622103,79085.40590747948,43.059129166666935,51952.10017102542
2025-08-04,1200.0,1200.0,50653.198250184956,0.0,50653.198250184956,79826.01944343027,0.0,51890.49142290936
2025-08-05,1200.0,1200.0,50816.81389553737,0.0,50816.81389553737,80053.18418831658,0.0,52080.510304221076
2025-08-06,1200.0,1200.0,50063.28443499373,0.0,50063.28443499373,78816.03054379372,0.0,51494.99420008947
2025-08-07,1200.0,1200.0,49687.669058631946,172.25012654375,49859.9191851757,78607.22545598134,25.493987500000003,51246.7356872003
2025-08-08,1200.0,1200.0,22786.842335841913,0.0,22786.842335841913,38749.25129354741,0.0,23112.73618844475
2025-08-09,1200.0,1200.0,23081.79334303647,0.0,23081.79334303647,39040.37628462088,0.0,23350.651797121798
2025-08-10,1200.0,1200.0,43435.113264213855,4650.183448540589,48085.29671275444,67052.56277681584,1924.4322575485126,45242.09594695112
2025-08-11,1200.0,1200.0,44339.42572059549,171.0711804166668,44510.49690101216,68920.54118717345,25.37583333333335,45444.918256020705
2025-08-12,1200.0,1200.0,43671.04953997769,10452.071870557354,54123.121410535045,68438.31946377628,3166.141680419691,44939.27271185614
2025-08-13,1200.0,1200.0,45444.261152212086,204.94167399166548,45649.20282620375,70563.6041495957,29.432316666666487,46079.14374353889
2025-08-14,1200.0,1200.0,44776.724638408836,2942.2044801752554,47718.92911858409,69492.8060791542,906.6112843473272,45395.42611244704
2025-08-15,1200.0,1200.0,22387.63052434076,1604.4763738771578,23992.106898217917,38138.38572173205,753.6553076556421,22747.713908898593
2025-08-16,1200.0,1200.0,22819.730344043335,364.6151680930587,23184.345512136395,38789.82263486416,167.67402730826046,23149.830241536944
2025-08-17,1200.0,1200.0,43156.91825437121,1533.4846465348264,44690.40290090603,66934.69085189397,366.18126450179,43927.042868438155
2025-08-18,1200.0,1200.0,44664.95442849508,225.5624302374996,44890.51685873258,69411.54926207641,33.40340833333327,44996.25602420611
2025-08-19,1200.0,1200.0,44591.314857510486,418.2131768302834,45009.52803434077,69498.53640428782,81.669372238171,44935.31250663213
2025-08-20,1200.0,1200.0,44813.5272720458,13076.263323113548,57889.79059515935,69566.7298753041,5321.687162561406,45123.138049328554
2025-08-21,1200.0,1200.0,44084.44014567187,2923.8386251666498,47008.27877083852,68197.99413538733,1373.7240172201714,45687.29952411011
2025-08-22,1200.0,1200.0,22670.50980639473,3957.9769654396528,26628.48677183438,38715.69864799173,1023.9435473225678,22836.693559848598
2025-08-23,1200.0,1200.0,22865.876257145243,1043.4078019353851,23909.284059080626,38995.567505162544,296.41823748714575,23255.392655834476
2025-08-24,1200.0,1200.0,45218.61863587538,688.2671629533022,45906.885798828676,70386.94220494892,154.95591059928017,45690.842856190575
2025-08-25,1200.0,1200.0,46303.326034434416,6763.688703615368,53067.01473804978,72201.80481435581,2734.132981386684,46781.85277999717
2025-08-26,1200.0,1200.0,46720.86505310986,13.900150237500632,46734.765203347364,73077.11743341856,2.0634083333334274,47316.66307172049
2025-08-27,1200.0,1200.0,47693.22363866799,0.0,47693.22363866799,74583.46561120509,0.0,48294.40824140245
2025-08-28,1200.0,1200.0,46386.59746390158,6653.93776138847,53040.53522529005,72267.45486773802,2857.1254562916565,46979.69493605773
2025-08-29,1200.0,1200.0,23246.00647177641,736.3092036395144,23982.315675415924,39443.289918014896,341.41683590222794,23435.74273717391
2025-08-30,1200.0,1200.0,23220.831140272327,1146.0888278916239,24366.91996816395,39405.515816918465,358.1300900138881,23363.021344545352
